title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable atmos.1hr.vas_tpt-h10m-hxy-u (E1hr.vas),674,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/674,1hr atmos,vas_tpt-h10m-hxy-u,northward_wind,Not present,area: areacella,area: mean time: point,Meridional wind (positive in a northward direction) at 10 meters above the surface.,longitude latitude time1 height10m,1hr,Surface wind speed Northward Component,atmos,up,,m s-1,New,,,,,
Variable atmos.1hr.va_tpt-h100m-hxy-u (E1hr.va100m),673,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/673,1hr atmos,va_tpt-h100m-hxy-u,northward_wind,Not present,area: areacella,area: mean time: point,Meridional wind (positive in a northward direction) at 100m above the surface.,longitude latitude time1 height100m,1hr,Northward Wind at 100m,atmos,,Instantaneous values,m s-1,New,,,,,
Variable atmos.1hr.uas_tpt-h10m-hxy-u (E1hr.uas),672,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/672,1hr atmos,uas_tpt-h10m-hxy-u,eastward_wind,Not present,area: areacella,area: mean time: point,Zonal wind (positive in a eastward direction) at 10 meters above the surface.,longitude latitude time1 height10m,1hr,Surface wind speed Eastward Components,atmos,up,,m s-1,New,,,,,
Variable atmos.1hr.ua_tpt-h100m-hxy-u (E1hr.ua100m),671,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/671,1hr atmos,ua_tpt-h100m-hxy-u,eastward_wind,Not present,area: areacella,area: mean time: point,Zonal wind (positive in a eastward direction) at 100m above the surface,longitude latitude time1 height100m,1hr,Eastward Wind at 100m,atmos,,Instantaneous values,m s-1,New,,,,,
Variable atmos.1hr.ts_tavg-u-hxy-u (E1hr.ts),670,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/670,1hr atmos,ts_tavg-u-hxy-u,surface_temperature,Not present,area: areacella,area: time: mean,Surface temperature (skin for open ocean),longitude latitude time,1hr,Surface Temperature,atmos,,,K,New,,,,,
Variable atmos.1hr.sfcWind_tavg-h10m-hxy-u (E1hr.sfcWind),668,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/668,1hr atmos,sfcWind_tavg-h10m-hxy-u,wind_speed,Not present,area: areacella,area: time: mean,Hourly near-surface wind speed at 10m above the ground,longitude latitude time height10m,1hr,Hourly surface wind speed,atmos,,,m s-1,New,,,,,
Variable atmos.1hr.rsus_tavg-u-hxy-u (E1hr.rsus),667,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/667,1hr atmos,rsus_tavg-u-hxy-u,surface_upwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean,Surface upwelling shortwave radiation,longitude latitude time,1hr,Surface upwelling shortwave radiation,atmos,,,W m-2,New,,,,,
Variable atmos.1hr.rsdsdiff_tavg-u-hxy-u (E1hr.rsdsdiff),666,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/666,1hr atmos,rsdsdiff_tavg-u-hxy-u,surface_diffuse_downwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean,Surface Diffuse Downwelling Shortwave Radiation,longitude latitude time height2m,1hr,Surface Diffuse Downwelling Shortwave Radiation,atmos,down,This is a 3-hour mean flux.,W m-2,New,,,,,
Variable atmos.1hr.rsds_tavg-u-hxy-u (E1hr.rsds),665,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/665,1hr atmos,rsds_tavg-u-hxy-u,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean,Hourly downward solar radiation flux at the surface,longitude latitude time,1hr,Hourly downward solar radiation flux at the surface,atmos,,,W m-2,New,,,,,
Variable atmos.1hr.rlus_tavg-u-hxy-u (E1hr.rlus),664,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/664,1hr atmos,rlus_tavg-u-hxy-u,surface_upwelling_longwave_flux_in_air,Not present,area: areacella,area: time: mean,Hourly surface upwelling shortwave radiation,longitude latitude time,1hr,Surface upwelling shortwave radiation,atmos,,,W m-2,New,,,,,
