title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable aerosol.3hr.mmrbc_tpt-u-hm-u (E3hrPt.mmrbc),695,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/695,3hr aerosol,mmrbc_tpt-u-hm-u,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface elemental carbon Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1,3hr,Elemental carbon mass mixing ratio,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmraerh2o_tpt-u-hm-u (E3hrPt.mmraerh2o),694,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/694,3hr aerosol,mmraerh2o_tpt-u-hm-u,mass_fraction_of_water_in_ambient_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface aerosol water Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1,3hr,Instantaneous surface aerosol water mass mixing ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.conccn_tpt-u-hxys-u (E3hrPt.conccn),691,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/691,3hr aerosol,conccn_tpt-u-hxys-u,number_concentration_of_ambient_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"The variable represents the instantaneous Aerosol Number Concentration at CF sites, sampled every 3 hours",site time1,3hr,Sub-daily Aerosol Number Concentration at CF sites,aerosol,,,m-3,New,,,,,
Variable aerosol.mon.rluscsaf_tavg-u-hxy-u (AERmon.rluscsaf),390,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/390,mon aerosol,rluscsaf_tavg-u-hxy-u,surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Not present,area: areacella,area: time: mean,Flux corresponding to rluscs resulting from an aerosol-free call to radiation,longitude latitude time,mon,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",aerosol,up,,W m-2,New,,,,,
Variable aerosol.mon.hfc134a_tavg-l-hxy-u (AERmon.hfc134a),338,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/338,mon aerosol,hfc134a_tavg-l-hxy-u,mole_fraction_of_hfc134a_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HFC134a in air,longitude latitude alevel time,mon,Mole Fraction of HFC134a,aerosol,,,mol mol-1,New,,,,,
Variable aerosol.mon.hfc125_tavg-l-hxy-u (AERmon.hfc125),337,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/337,mon aerosol,hfc125_tavg-l-hxy-u,mole_fraction_of_hfc125_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HFC125 in air,longitude latitude alevel time,mon,Mole Fraction of HFC125,aerosol,,,mol mol-1,New,,,,,
Variable aerosol.mon.hcfc22_tavg-l-hxy-u (AERmon.hcfc22),334,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/334,mon aerosol,hcfc22_tavg-l-hxy-u,mole_fraction_of_hcfc22_in_air,Not present,area: areacella,area: time: mean,This is the mole fraction of HCFC22 in air,longitude latitude alevel time,mon,Mole Fraction of HCFC22,aerosol,,,mol mol-1,New,,,,,
Variable aerosol.mon.emibbvoc_tavg-u-hxy-u (AERmon.emibbvoc),305,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/305,mon aerosol,emibbvoc_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of non-methane volatile organic compounds (NMVOCs) from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NMVOC from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
Variable aerosol.mon.emibbso2_tavg-u-hxy-u (AERmon.emibbso2),304,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/304,mon aerosol,emibbso2_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of SO2 into the atmosphere from all biomass burning (natural and anthropogenic).,longitude latitude time,mon,total emission rate of SO2 from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
Variable aerosol.mon.emibboa_tavg-u-hxy-u (AERmon.emibboa),303,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/303,mon aerosol,emibboa_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of particulate organic matter (organic aerosol) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission of organic aerosol from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
Variable aerosol.mon.emibbnox_tavg-u-hxy-u (AERmon.emibbnox),302,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/302,mon aerosol,emibbnox_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of nitrogen oxides (NOx) from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NOx from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
Variable aerosol.mon.emibbnh3_tavg-u-hxy-u (AERmon.emibbnh3),301,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/301,mon aerosol,emibbnh3_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of ammonia (NH3) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of NH3 from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
Variable aerosol.mon.emibbdms_tavg-u-hxy-u (AERmon.emibbdms),300,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/300,mon aerosol,emibbdms_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of dimethyl sulfide (DMS) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission of DMS from all biomass burning,aerosol,,,kg m-2 s-1,New,,,,,
