Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile
HadGEM3-GC31,mrsol_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
UKESM1,mrsll_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
UKESM1,mrsll_tavg-l-hxy-lnd,mon,m01s08i229,8,229,TMONMN,DSOIL,UP5
UKESM1,mrsll_tavg-l-hxy-lnd,mon,m01s08i230,8,230,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,mon,m01s08i229,8,229,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,mon,m01s08i230,8,230,TMONMN,DSOIL,UP5
UKESM1,mrsfl_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
UKESM1,mrsfl_tavg-l-hxy-lnd,mon,m01s08i229,8,229,TMONMN,DSOIL,UP5
UKESM1,mrsfl_tavg-l-hxy-lnd,mon,m01s08i230,8,230,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,mon,m01s08i223,8,223,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,mon,m01s08i229,8,229,TMONMN,DSOIL,UP5
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,mon,m01s08i230,8,230,TMONMN,DSOIL,UP5
UKESM1,loadso4_tavg-u-hxy-u,mon,m01s38i520,38,520,TMONMN,DIAG,UP5
UKESM1,lai_tavg-u-hxy-lus,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,lai_tavg-u-hxy-lus,mon,m01s19i014,19,014,TMONMN,DPFTS,UP5
UKESM1,intvaw_tavg-u-hxy-u,mon,m01s30i463,30,463,TMONMN,DIAG,UP5
HadGEM3-GC31,intvaw_tavg-u-hxy-u,mon,m01s30i463,30,463,TMONMN,DIAG,UP5
UKESM1,intvadse_tavg-u-hxy-u,mon,m01s30i423,30,423,TMONMN,DIAG,UP5
UKESM1,intvadse_tavg-u-hxy-u,mon,m01s30i426,30,426,TMONMN,DIAG,UP5
HadGEM3-GC31,intvadse_tavg-u-hxy-u,mon,m01s30i423,30,423,TMONMN,DIAG,UP5
HadGEM3-GC31,intvadse_tavg-u-hxy-u,mon,m01s30i426,30,426,TMONMN,DIAG,UP5
UKESM1,intuaw_tavg-u-hxy-u,mon,m01s30i462,30,462,TMONMN,DIAG,UP5
HadGEM3-GC31,intuaw_tavg-u-hxy-u,mon,m01s30i462,30,462,TMONMN,DIAG,UP5
UKESM1,intuadse_tavg-u-hxy-u,mon,m01s30i422,30,422,TMONMN,DIAG,UP5
UKESM1,intuadse_tavg-u-hxy-u,mon,m01s30i425,30,425,TMONMN,DIAG,UP5
HadGEM3-GC31,intuadse_tavg-u-hxy-u,mon,m01s30i422,30,422,TMONMN,DIAG,UP5
HadGEM3-GC31,intuadse_tavg-u-hxy-u,mon,m01s30i425,30,425,TMONMN,DIAG,UP5
UKESM1,hfss_tavg-u-hxy-lus,mon,m01s03i290,3,290,TMONMN,DTILE,UP5
UKESM1,hfls_tavg-u-hxy-lus,mon,m01s03i330,3,330,TMONMN,DTILE,UP5
